Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Chlorurus_sordidus,26.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,13.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,14.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,29.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,27,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,26.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,14.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.6,Fishery,2014,1,0,0,0,0
